brand,name,tag,sex,price,size,view,buy,like,review,url
슈펜,[슈탠다드] 베이직 캔버스 스니커즈 HPCR3DA01M,"['스니커즈', '캔버스화', '커플운동화', '스니커즈컬렉션', '커플신발', '단화', '커플', '슈탠다드', '슈탠다드스니커즈', '젠더리스']",,"29,900원","[{'(19)Black': ['220', '230', '240', '250', '260', '270', '280']}, {'(10)White': ['220', '230', '240', '250', '260(5개 남음)', '270(5개 남음)', '280']}, {'(15)Gray': ['220', '230', '240', '250', '260', '270', '280']}, {'(26)Light': ['220(4개 남음)', '230', '240(4개 남음)', '250(5개 남음)', '260']}, {'(20)Red': ['230', '240', '250', '260', '270', '280']}, {'(16)Light': []}, {'(36)Light': ['230', '240', '250', '260', '270', '280']}, {'(59)Navy': ['220', '230', '240', '250', '260', '270', '280']}, {'(51)Light': ['220', '230', '240', '250', '260', '270', '280']}, {'(62)Hunter': ['220', '230', '240', '250', '260', '270', '280']}, {'(21)Dark': ['230', '240(3개 남음)', '250(2개 남음)', '260(3개 남음)', '270(5개 남음)', '280']}, {'(95)Two': ['220', '230', '240', '250', '260', '270', '280']}, {'(66)DST': ['230', '240', '250']}]",1.2만 회 이상,7.1천 개 이상,"28,136","17,674",https://www.musinsa.com/app/goods/1094877
캘빈클라인 진,남녀공용 화이트 말모 스니커즈 YM00681 01U / YW00823 YBR,"['풋웨어', '스니커즈']","남성, 여성","132,050원","[{'화이트': ['35(225)', '36(230)', '37(235)', '38(240~245)', '39(250)', '40(255)', '42(265~270)', '43(275)', '44(280)']}]",1.9만 회 이상,3천 개 이상,"15,473",474,https://www.musinsa.com/app/goods/3024528
푸마,테버리스 나이트로 - 블랙:다크 그레이 / 388774-03,"['테버리스', '푸마운동화', '푸마스니커즈', '캐주얼운동화', '푸마러닝', '꿀템', '아울렛', '스포츠패션', '추천상품']","남성, 여성","53,900원","['220', '230', '240', '250', '255', '260']",2만 회 이상,3천 개 이상,"2,181",830,https://www.musinsa.com/app/goods/2808204
포즈간츠,멈멈 C.V 블랙,"['블랙', '스니커즈', '오버솔', '청키', 'CANVAS', '멈멈캔버스', '브랜드위크']","남성, 여성","66,600원","['230', '240']",8.1천 회 이상,3천 개 이상,"19,981","2,109",https://www.musinsa.com/app/goods/1376278
무신사 스탠다드,독일군 스니커즈 Mark2 [화이트],"['운동화', '신발', '기본신발', '캐주얼슈즈', '남녀공용', '커플신발', '슈즈', 'PLUS배송', '플러스배송', '올드머니']","남성, 여성","67,890원","['230', '240', '260', '280']",7.4천 회 이상,1.6천 개 이상,"3,005",397,https://www.musinsa.com/app/goods/3119469
헌터,[WOMEN] 인/아웃 슬립온 - 블랙 WFF1007WWUBLK,[],,"139,000원","['220', '230(5개남음)']",7.8천 회 이상,250 개 이상,"1,616",84,https://www.musinsa.com/app/goods/3598798
밸롭,봄버 에어 화이트,"['화이트', '어글리슈즈', '스니커즈', '여자신발', '남자운동화', '남자신발', '런닝화']",,"55,000원","['봄버에어화이트235', '봄버에어화이트245', '봄버에어화이트250', '봄버에어화이트255260', '봄버에어화이트265', '봄버에어화이트270', '봄버에어화이트275280']",1.9천 회 이상,500 개 이상,"1,375",180,https://www.musinsa.com/app/goods/1193608
힐탑,HT4900-BK 6cm 키높이 스니커즈 라온 블랙 [230~280MM],"['키높이스니커즈', '남자스니커즈', '키높이', '스니커즈', '레더스니커즈', '빈티지', '코트화', '키높이슈즈']","남성, 여성","71,100원","['230', '240', '250', '260', '270', '280']",1.7천 회 이상,250 개 이상,"1,437",79,https://www.musinsa.com/app/goods/2444309
미즈노,MAXIMIZER 26 K1GA240209,"['러닝화', '스니커즈', '맥시마이저', '미즈노러닝화', 'MAXIMIZER']","남성, 여성","63,200원","['225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275']",1.8만 회 이상,1.6천 개 이상,"2,047",411,https://www.musinsa.com/app/goods/3428600
포즈간츠,무스비 블랙,"['무스비', '플랫폼스니커즈', '브랜드위크', '스니커즈', '스니커즈컬렉션']","남성, 여성","52,700원","['240', '250', '260', '280']",4천 회 이상,2.5천 개 이상,"17,551","2,181",https://www.musinsa.com/app/goods/1882089
포즈간츠,뉴 메이저 블랙,"['메이저', '키높이운동화', '블랙운동화', '블랙스니커즈', '남여공용', '브랜드위크', '아울렛']","남성, 여성","41,000원","['240(마지막1개)', '260', '270', '280(3개남음)']",2.8천 회 이상,250 개 이상,"2,018",57,https://www.musinsa.com/app/goods/2761018
아디다스,삼바 OG - 화이트:블랙 / B75806,"['단화', '삼바', '스니커즈', '신발', '운동화', '삼바OG']",,"139,000원","['220', '225', '240', '245', '255', '260', '265', '270', '275', '280', '285', '290']",14.9만 회 이상,1.6만 개 이상,"30,263","5,371",https://www.musinsa.com/app/goods/1163169
